,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue,benchmark_score
2017-01-13 09:17:00,883.367,884.657,-1.025,1,146,883.45,883.60,1100,3300,884.50,884.60,947,103,883.05,883.65,1100,1100,884.40,885.55,1750,1528,7700,8800,883.012,883.729,883.793,885.281,-1.355,0.000
2017-01-13 09:18:00,879.537,880.792,-0.925,147,177,879.80,879.90,1100,1100,880.55,881.00,25,5,879.20,879.95,1100,1100,880.50,881.40,1079,1928,7700,6600,879.122,880.008,879.621,881.550,-1.430,330.000
2017-01-13 09:19:00,885.710,887.635,-1.775,103,50,885.25,885.80,1100,1100,886.60,888.00,3,120,885.20,885.90,1100,1100,886.40,888.60,1221,600,7700,6600,885.111,885.957,886.171,888.700,-1.395,397.445
2017-01-13 09:20:00,888.627,889.979,-0.950,20,3,888.75,888.95,1100,1100,889.60,890.00,22,843,888.70,889.00,1100,1100,889.55,890.60,162,1947,6600,6600,888.540,889.075,889.408,890.650,-1.565,336.371
2017-01-13 09:21:00,887.677,888.775,-1.175,303,8,887.50,887.85,1100,1100,888.25,889.45,97,30,887.45,887.95,1100,3300,888.20,889.50,454,248,7700,14300,887.440,888.022,888.057,889.846,-1.800,352.296
2017-01-13 09:22:00,881.783,883.645,-1.950,17,8,881.25,881.90,1100,1100,883.05,884.00,103,4,881.20,882.00,1100,1100,883.00,884.05,562,331,6600,5500,880.998,882.459,882.342,884.640,-1.920,422.694
2017-01-13 09:23:00,881.049,882.705,-1.300,103,41,880.70,881.35,1100,1100,881.70,882.95,78,30,880.65,881.40,1100,1100,881.65,883.00,285,238,6600,5500,880.613,881.594,881.308,883.640,-1.960,449.551
2017-01-13 09:24:00,880.109,881.454,-1.600,108,180,879.55,879.90,1100,1100,881.05,881.60,235,25,879.50,880.40,2200,1100,881.00,881.65,830,476,8800,5500,879.396,880.339,880.625,882.040,-1.900,461.902
2017-01-13 09:25:00,882.488,884.087,-1.800,1,24,881.85,882.55,1100,1100,883.60,884.40,78,1,881.80,882.65,1100,1100,883.55,884.45,504,169,6600,6600,881.716,882.822,883.200,885.092,-1.865,467.507
2017-01-13 09:26:00,882.768,884.373,-2.350,78,5,882.05,882.50,1100,1100,884.15,885.10,691,53,882.00,882.80,1100,2200,883.90,885.15,1288,130,5500,11000,881.909,882.897,883.710,885.710,-1.740,451.971
