,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,Y
2017-02-06 09:17:00,742.774,742.795,742.032,743.378,741.610,743.980,742.40,742.60,742.10,742.95,742.35,743.00,742.05,743.00,101,1,1000,1000,70,10,1000,1000,2293,1767,5000,5000,1
2017-02-06 09:18:00,746.371,746.303,746.254,746.997,744.788,748.007,746.35,746.90,745.25,746.55,746.30,746.95,744.70,747.95,60,35,3000,1000,103,120,1000,1000,476,2555,8000,7000,1
2017-02-06 09:19:00,747.582,747.027,747.520,747.986,746.308,747.817,747.75,747.90,746.55,746.70,747.45,747.95,746.50,747.00,268,1000,1000,2000,10,51,1000,1000,627,3038,6000,9000,1
2017-02-06 09:20:00,747.436,746.043,746.769,747.928,745.550,747.444,747.15,747.65,745.80,746.50,747.05,747.70,745.75,746.55,84,1,1000,1000,211,31,1000,1000,1585,876,6000,9000,1
2017-02-06 09:21:00,746.857,745.389,746.596,747.048,744.800,746.581,746.75,747.00,745.20,746.05,746.65,747.05,744.95,746.10,93,717,2000,2000,203,105,1000,1000,834,972,6000,8000,1
2017-02-06 09:22:00,747.444,746.547,747.041,747.537,745.700,747.165,747.20,747.35,746.05,746.60,747.15,747.50,746.00,746.65,83,200,1000,2000,1,17,1000,1000,851,497,7000,10000,1
2017-02-06 09:23:00,746.645,745.882,746.859,747.451,745.225,746.480,747.00,747.05,745.55,746.30,746.75,747.20,745.40,746.35,308,10,1000,1000,211,489,2000,1000,606,5829,6000,5000,1
2017-02-06 09:24:00,746.051,745.435,746.095,746.997,745.020,746.688,746.55,746.75,745.35,745.95,746.35,746.80,745.30,746.00,37,50,1000,1000,1,20,1000,1000,483,9003,5000,8000,1
2017-02-06 09:25:00,748.981,748.842,748.746,749.056,748.090,749.771,748.95,749.00,748.35,749.20,748.90,749.05,748.30,749.40,82,1546,1000,2000,344,25,1000,1000,733,1856,5000,7000,1
2017-02-06 09:26:00,747.433,746.905,747.406,748.366,746.150,747.660,747.50,748.00,746.60,747.20,747.45,748.20,746.35,747.25,84,158,1000,1000,135,150,1000,1000,421,2986,5000,5000,1
2017-02-06 09:27:00,748.463,747.550,748.102,748.633,746.950,748.579,748.25,748.50,747.25,747.75,748.15,748.60,747.00,747.80,199,69,1000,1000,69,50,1000,1000,697,420,5000,7000,1
2017-02-06 09:28:00,747.664,746.920,747.565,748.153,746.260,747.580,747.70,748.00,746.55,747.25,747.65,748.15,746.50,747.30,84,1000,1000,1000,47,5,1000,1000,375,2138,5000,5000,1
2017-02-06 09:29:00,748.525,747.555,748.037,748.521,746.990,748.400,748.25,748.35,747.15,747.70,748.20,748.45,747.10,747.75,11,9,1000,1000,44,130,1000,1000,727,244,5000,6000,1
