,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,Y
2017-02-06 09:17:00,188.201,188.386,188.165,188.441,188.188,188.683,188.25,188.30,188.40,188.50,188.20,188.35,188.20,188.55,1515,1000,10500,7000,2049,3989,3500,3500,9370,18899,45500,42000,0
2017-02-06 09:18:00,188.307,188.550,188.264,188.576,188.342,188.700,188.40,188.45,188.45,188.55,188.30,188.50,188.40,188.60,960,50,3500,3500,3368,11202,14000,3500,11146,31570,42000,24500,0
2017-02-06 09:19:00,188.339,188.515,188.200,188.448,188.291,188.592,188.30,188.35,188.40,188.50,188.25,188.40,188.35,188.55,1295,602,3500,7000,2870,4800,10500,3500,11818,9557,38500,21000,0
2017-02-06 09:20:00,187.235,187.307,187.023,187.423,187.089,187.456,187.20,187.30,187.20,187.35,187.15,187.35,187.15,187.40,457,2327,14000,7000,200,2103,3500,14000,11127,17034,77000,56000,0
2017-02-06 09:21:00,187.372,187.519,187.222,187.551,187.283,187.606,187.35,187.45,187.40,187.50,187.30,187.50,187.35,187.60,389,6964,17500,10500,1810,903,7000,10500,13038,21699,52500,31500,0
2017-02-06 09:22:00,187.316,187.532,187.232,187.534,187.387,187.706,187.30,187.40,187.50,187.60,187.25,187.45,187.45,187.65,6335,800,7000,3500,1063,1290,3500,7000,18677,18980,28000,31500,0
2017-02-06 09:23:00,187.378,187.539,187.197,187.498,187.395,187.728,187.30,187.35,187.50,187.55,187.25,187.45,187.45,187.60,3401,430,7000,3500,62,5319,10500,7000,16900,10948,35000,31500,0
2017-02-06 09:24:00,187.073,187.378,186.894,187.222,187.170,187.492,187.00,187.10,187.25,187.40,186.95,187.15,187.20,187.45,8144,3140,7000,14000,1565,1940,59500,7000,22923,15655,98000,45500,0
2017-02-06 09:25:00,187.398,187.637,187.050,187.432,187.387,187.800,187.20,187.35,187.55,187.70,187.15,187.40,187.50,187.75,3416,2981,3500,7000,1976,1702,14000,3500,26931,9815,42000,28000,0
2017-02-06 09:26:00,186.477,186.742,186.283,186.560,186.618,186.921,186.40,186.45,186.70,186.80,186.35,186.50,186.65,186.85,229,813,10500,7000,5131,2207,14000,3500,19219,9252,49000,42000,0
2017-02-06 09:27:00,186.106,186.481,185.890,186.238,186.232,186.660,186.00,186.10,186.35,186.50,185.95,186.15,186.30,186.55,4400,236,3500,7000,7248,1244,3500,7000,31916,13638,87500,52500,0
2017-02-06 09:28:00,186.409,186.660,186.158,186.518,186.488,186.902,186.30,186.40,186.60,186.80,186.25,186.45,186.55,186.85,739,2186,14000,21000,4050,1747,3500,17500,20094,11829,56000,87500,0
2017-02-06 09:29:00,186.270,186.577,186.021,186.388,186.368,186.762,186.15,186.25,186.50,186.60,186.10,186.30,186.45,186.65,617,200,3500,3500,5959,2644,7000,3500,34082,14507,49000,42000,0
2017-02-06 09:30:00,186.180,186.507,185.971,186.284,186.261,186.588,186.10,186.15,186.40,186.50,186.05,186.20,186.30,186.55,1859,200,14000,14000,1340,2822,17500,7000,30348,13965,108500,42000,0
2017-02-06 09:31:00,186.274,186.556,186.006,186.301,186.278,186.706,186.15,186.20,186.40,186.55,186.10,186.25,186.35,186.60,50,1672,21000,10500,265,3302,7000,7000,30626,9573,112000,59500,0
2017-02-06 09:32:00,186.537,186.792,186.310,186.609,186.584,186.957,186.45,186.50,186.70,186.85,186.40,186.55,186.65,186.90,636,1986,7000,10500,3570,2964,7000,7000,21715,11460,56000,49000,0
2017-02-06 09:33:00,186.359,186.683,186.098,186.422,186.420,186.760,186.20,186.30,186.55,186.65,186.15,186.35,186.50,186.70,17449,372,10500,3500,5229,1226,14000,7000,59497,9167,87500,35000,0
2017-02-06 09:34:00,186.849,187.139,186.650,187.045,186.975,187.377,186.75,186.95,187.10,187.20,186.70,187.00,187.05,187.25,1552,3807,7000,3500,5520,5730,10500,3500,22604,23389,42000,38500,0
2017-02-06 09:35:00,186.693,187.031,186.524,186.890,186.793,187.185,186.65,186.75,186.95,187.10,186.60,186.80,186.90,187.15,1282,1211,14000,10500,1078,437,3500,10500,16182,16262,49000,45500,0
2017-02-06 09:36:00,186.155,186.500,185.986,186.340,186.318,186.586,186.10,186.20,186.40,186.50,186.05,186.25,186.35,186.55,1561,2248,24500,3500,1683,2759,28000,14000,32708,26581,87500,38500,0
2017-02-06 09:37:00,186.184,186.455,185.989,186.238,186.332,186.610,186.10,186.15,186.40,186.50,186.05,186.20,186.35,186.55,1898,3927,24500,3500,2286,509,28000,7000,33370,14960,77000,52500,0
2017-02-06 09:38:00,186.352,186.651,186.082,186.409,186.420,186.816,186.25,186.30,186.55,186.70,186.20,186.35,186.50,186.75,224,1225,3500,10500,610,584,17500,7000,19607,10771,80500,66500,0
