,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue
2017-01-06 09:17:00,210.739,211.945,-1.075,465.000,945.000,210.85,210.95,8000.000,4000.000,211.85,212.10,485.000,66.000,210.75,211.00,4000.000,4000.000,211.80,212.15,3345.000,11534.000,24000.000,20000.000,210.691,211.110,211.667,212.230,-0.925
2017-01-06 09:18:00,210.897,212.014,-1.200,825.000,10.000,210.80,210.85,4000.000,4000.000,211.95,212.10,1388.000,950.000,210.75,210.95,4000.000,4000.000,211.90,212.15,8228.000,4731.000,24000.000,20000.000,210.682,211.096,211.775,212.200,-0.860
2017-01-06 09:19:00,210.636,211.583,-1.000,500.000,1565.000,210.60,210.65,4000.000,8000.000,211.55,211.70,25.000,500.000,210.55,210.70,4000.000,4000.000,211.25,211.75,3760.000,4892.000,24000.000,24000.000,210.448,210.742,211.200,211.833,-0.845
2017-01-06 09:20:00,210.795,211.532,-0.825,5.000,325.000,210.70,210.85,4000.000,8000.000,211.40,211.80,36.000,1.000,210.65,210.90,4000.000,4000.000,211.20,211.85,4456.000,3001.000,20000.000,24000.000,210.548,210.992,211.180,211.892,-0.855
2017-01-06 09:21:00,210.331,211.269,-0.850,573.000,103.000,210.30,210.50,4000.000,8000.000,211.15,211.35,2431.000,1128.000,210.25,210.55,4000.000,4000.000,211.10,211.40,5752.000,8986.000,24000.000,28000.000,210.209,210.636,211.033,211.500,-0.875
2017-01-06 09:22:00,210.886,211.729,-0.750,750.000,786.000,210.85,210.95,4000.000,8000.000,211.55,211.75,904.000,686.000,210.80,211.00,4000.000,4000.000,211.50,211.95,5448.000,6473.000,28000.000,28000.000,210.727,211.072,211.314,211.950,-0.915
2017-01-06 09:23:00,210.964,211.935,-0.875,240.000,610.000,210.95,211.00,8000.000,4000.000,211.75,211.95,2004.000,51.000,210.90,211.10,8000.000,8000.000,211.70,212.00,7689.000,10297.000,48000.000,32000.000,210.836,211.243,211.588,212.113,-0.915
2017-01-06 09:24:00,211.258,212.136,-0.925,1219.000,2.000,211.15,211.35,4000.000,4000.000,212.05,212.30,1747.000,50.000,211.10,211.40,4000.000,8000.000,211.90,212.35,12409.000,9643.000,28000.000,28000.000,211.018,211.530,211.814,212.407,-0.900
2017-01-06 09:25:00,211.124,212.058,-0.875,1000.000,50.000,211.15,211.30,4000.000,4000.000,211.90,212.30,50.000,2.000,211.05,211.35,4000.000,4000.000,211.85,212.35,4058.000,6535.000,24000.000,28000.000,211.001,211.514,211.783,212.414,-0.900
2017-01-06 09:26:00,211.569,212.482,-0.950,39.000,1727.000,211.60,211.75,4000.000,8000.000,212.45,212.80,52.000,15.000,211.55,211.80,4000.000,4000.000,212.40,212.90,1839.000,6121.000,20000.000,48000.000,211.447,211.882,212.320,212.963,-0.870
