,stockVWAP,futureVWAP,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,midBasis,FairValue
2017-03-01 09:16:00,38.871,38.909,16865.000,50.000,38.80,38.85,120000.000,120000.000,38.90,39.00,24604.000,15451.000,38.75,38.90,100000.000,120000.000,38.85,39.05,132534.000,66791.000,380000.000,580000.000,38.692,38.951,38.824,39.129,-0.125,-0.077
2017-03-01 09:17:00,38.951,39.011,25711.000,25143.000,38.85,38.95,60000.000,160000.000,39.00,39.05,34891.000,39823.000,38.80,39.00,100000.000,40000.000,38.95,39.10,204409.000,117509.000,420000.000,480000.000,38.740,39.039,38.898,39.163,-0.125,-0.070
2017-03-01 09:18:00,38.901,38.977,11643.000,53241.000,38.85,38.95,60000.000,180000.000,38.95,39.05,15292.000,45206.000,38.80,39.00,120000.000,20000.000,38.90,39.10,135612.000,165122.000,380000.000,580000.000,38.738,39.032,38.861,39.179,-0.100,-0.070
2017-03-01 09:19:00,38.859,38.967,5193.000,4850.000,38.80,38.85,20000.000,40000.000,38.95,39.00,24084.000,17845.000,38.75,38.90,100000.000,180000.000,38.90,39.05,119108.000,73636.000,280000.000,380000.000,38.692,38.952,38.846,39.084,-0.150,-0.066
2017-03-01 09:20:00,38.874,38.942,17468.000,5276.000,38.80,38.85,100000.000,20000.000,38.90,38.95,42631.000,22455.000,38.75,38.90,180000.000,20000.000,38.85,39.00,171384.000,79811.000,460000.000,260000.000,38.695,38.952,38.824,39.058,-0.100,-0.072
2017-03-01 09:21:00,38.911,38.985,18226.000,10180.000,38.85,38.90,180000.000,20000.000,38.95,39.00,23900.000,44080.000,38.80,38.95,100000.000,160000.000,38.90,39.05,172030.000,110191.000,480000.000,320000.000,38.736,39.000,38.879,39.094,-0.100,-0.075
2017-03-01 09:22:00,38.861,38.884,400.000,19799.000,38.80,38.85,40000.000,60000.000,38.90,38.95,34991.000,26182.000,38.75,38.90,80000.000,80000.000,38.85,39.00,171697.000,134021.000,280000.000,480000.000,38.670,38.942,38.804,39.060,-0.100,-0.091
2017-03-01 09:23:00,38.847,38.922,190.000,21501.000,38.80,38.85,20000.000,20000.000,38.90,38.95,35139.000,27844.000,38.75,38.90,140000.000,140000.000,38.85,39.00,151787.000,137685.000,540000.000,540000.000,38.678,38.940,38.789,39.067,-0.100,-0.094
2017-03-01 09:24:00,38.855,38.946,12645.000,26039.000,38.80,38.85,80000.000,160000.000,38.90,39.00,33063.000,15865.000,38.75,38.90,160000.000,140000.000,38.85,39.05,187062.000,135483.000,560000.000,620000.000,38.689,38.942,38.802,39.092,-0.125,-0.087
2017-03-01 09:25:00,38.848,38.944,863.000,25319.000,38.80,38.85,60000.000,180000.000,38.90,39.00,41458.000,15865.000,38.75,38.90,120000.000,120000.000,38.85,39.05,158165.000,135306.000,520000.000,620000.000,38.682,38.943,38.796,39.090,-0.125,-0.079
