,stockVWAP,futureVWAP,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,midBasis,FairValue
2017-03-01 09:16:00,74.067,74.348,12941.000,182.000,73.95,74.00,10000.000,40000.000,74.40,74.50,1000.000,3245.000,73.90,74.05,20000.000,10000.000,74.30,74.55,47580.000,9304.000,70000.000,140000.000,73.840,74.104,74.243,74.607,-0.475,-0.338
2017-03-01 09:17:00,74.090,74.444,550.000,1277.000,74.05,74.15,30000.000,20000.000,74.45,74.50,14036.000,11873.000,74.00,74.20,20000.000,10000.000,74.40,74.55,36888.000,37539.000,120000.000,130000.000,73.955,74.262,74.329,74.638,-0.375,-0.337
2017-03-01 09:18:00,74.083,74.456,300.000,1867.000,74.10,74.15,30000.000,10000.000,74.40,74.50,1410.000,5033.000,74.05,74.20,30000.000,10000.000,74.35,74.55,40878.000,87759.000,100000.000,70000.000,73.950,74.267,74.325,74.614,-0.325,-0.337
2017-03-01 09:19:00,73.973,74.312,5560.000,835.000,74.00,74.05,30000.000,20000.000,74.30,74.40,2251.000,14486.000,73.95,74.15,30000.000,10000.000,74.25,74.45,43686.000,106760.000,90000.000,110000.000,73.863,74.233,74.233,74.514,-0.325,-0.353
2017-03-01 09:20:00,73.844,74.144,2146.000,800.000,73.85,73.95,30000.000,20000.000,74.15,74.20,5563.000,26866.000,73.80,74.00,30000.000,10000.000,74.10,74.30,33868.000,73404.000,120000.000,120000.000,73.729,74.061,74.033,74.358,-0.275,-0.367
2017-03-01 09:21:00,73.885,74.207,3990.000,7630.000,73.90,73.95,10000.000,30000.000,74.20,74.25,4057.000,6883.000,73.85,74.00,10000.000,10000.000,74.15,74.30,45335.000,82442.000,80000.000,120000.000,73.766,74.074,74.081,74.350,-0.300,-0.374
2017-03-01 09:22:00,73.874,74.226,27.000,2461.000,73.90,73.95,10000.000,10000.000,74.20,74.25,4814.000,4448.000,73.85,74.00,20000.000,20000.000,74.15,74.30,42195.000,79257.000,110000.000,120000.000,73.755,74.093,74.073,74.362,-0.300,-0.365
2017-03-01 09:23:00,73.973,74.344,3849.000,10027.000,74.00,74.10,10000.000,30000.000,74.30,74.40,1034.000,3050.000,73.95,74.15,40000.000,20000.000,74.25,74.45,40086.000,107171.000,120000.000,140000.000,73.852,74.230,74.196,74.493,-0.300,-0.347
2017-03-01 09:24:00,73.971,74.390,4733.000,5441.000,74.00,74.05,10000.000,10000.000,74.35,74.45,2647.000,800.000,73.95,74.10,20000.000,40000.000,74.30,74.50,56347.000,81513.000,120000.000,140000.000,73.868,74.224,74.229,74.564,-0.375,-0.315
2017-03-01 09:25:00,74.111,74.483,3235.000,3705.000,74.10,74.20,20000.000,20000.000,74.45,74.55,2636.000,41479.000,74.05,74.25,10000.000,30000.000,74.40,74.60,49512.000,96340.000,110000.000,150000.000,73.963,74.305,74.323,74.660,-0.350,-0.304
2017-03-01 09:26:00,74.056,74.414,2840.000,2518.000,74.05,74.15,10000.000,10000.000,74.40,74.45,14106.000,16737.000,74.00,74.20,30000.000,30000.000,74.35,74.50,53413.000,100741.000,100000.000,120000.000,73.935,74.254,74.290,74.558,-0.325,-0.292
2017-03-01 09:27:00,74.436,74.742,2471.000,6683.000,74.40,74.45,20000.000,20000.000,74.70,74.80,1019.000,14419.000,74.35,74.50,50000.000,20000.000,74.65,74.85,50326.000,59515.000,160000.000,140000.000,74.241,74.560,74.612,74.925,-0.325,-0.298
2017-03-01 09:28:00,74.518,74.799,1428.000,5284.000,74.40,74.45,10000.000,30000.000,74.80,74.90,10000.000,8772.000,74.35,74.50,20000.000,60000.000,74.70,74.95,76464.000,29904.000,150000.000,230000.000,74.248,74.546,74.623,74.996,-0.425,-0.300
2017-03-01 09:29:00,74.521,74.783,919.000,3731.000,74.45,74.55,10000.000,10000.000,74.80,74.85,4247.000,10713.000,74.40,74.60,10000.000,30000.000,74.75,74.90,61063.000,56695.000,90000.000,180000.000,74.312,74.659,74.661,74.969,-0.325,-0.324
2017-03-01 09:30:00,74.669,74.983,3025.000,5484.000,74.60,74.65,10000.000,60000.000,74.95,75.00,727.000,4875.000,74.55,74.70,30000.000,10000.000,74.90,75.05,69326.000,48032.000,120000.000,140000.000,74.447,74.776,74.829,75.086,-0.350,-0.342
2017-03-01 09:31:00,74.632,74.931,4165.000,2717.000,74.60,74.65,40000.000,20000.000,74.90,75.05,4288.000,6748.000,74.55,74.70,10000.000,40000.000,74.85,75.10,63192.000,55723.000,110000.000,150000.000,74.462,74.795,74.818,75.167,-0.350,-0.363
2017-03-01 09:32:00,74.591,74.925,728.000,2989.000,74.55,74.60,20000.000,50000.000,74.90,75.00,14618.000,7044.000,74.50,74.65,20000.000,10000.000,74.85,75.05,85497.000,64637.000,110000.000,170000.000,74.418,74.745,74.786,75.097,-0.375,-0.379
2017-03-01 09:33:00,74.540,74.830,8346.000,1144.000,74.50,74.55,20000.000,10000.000,74.85,74.90,1727.000,8279.000,74.45,74.60,10000.000,20000.000,74.80,74.95,82280.000,70918.000,120000.000,200000.000,74.363,74.682,74.725,75.037,-0.350,-0.397
2017-03-01 09:34:00,74.294,74.677,4078.000,2947.000,74.30,74.35,20000.000,10000.000,74.55,74.65,1704.000,14090.000,74.25,74.40,40000.000,10000.000,74.50,74.70,44141.000,82167.000,160000.000,60000.000,74.141,74.471,74.447,74.758,-0.275,-0.393
2017-03-01 09:35:00,74.242,74.645,350.000,4363.000,74.25,74.30,50000.000,10000.000,74.50,74.65,3732.000,5589.000,74.20,74.35,30000.000,20000.000,74.45,74.70,39403.000,62081.000,190000.000,90000.000,74.097,74.443,74.405,74.783,-0.300,-0.383
2017-03-01 09:36:00,74.364,74.767,1120.000,1544.000,74.30,74.35,30000.000,20000.000,74.65,74.75,3969.000,2244.000,74.25,74.40,40000.000,10000.000,74.60,74.80,90909.000,56129.000,170000.000,70000.000,74.150,74.506,74.544,74.850,-0.375,-0.377
2017-03-01 09:37:00,74.176,74.594,4938.000,250.000,74.15,74.20,30000.000,20000.000,74.50,74.60,23340.000,5375.000,74.10,74.25,20000.000,10000.000,74.45,74.65,95869.000,73860.000,170000.000,100000.000,74.031,74.358,74.379,74.720,-0.375,-0.363
2017-03-01 09:38:00,74.195,74.571,20841.000,1051.000,74.10,74.15,10000.000,30000.000,74.45,74.60,8646.000,5994.000,74.05,74.20,30000.000,10000.000,74.40,74.65,114671.000,37255.000,170000.000,110000.000,73.983,74.280,74.335,74.700,-0.400,-0.357
2017-03-01 09:39:00,74.188,74.550,2646.000,7540.000,74.15,74.20,20000.000,30000.000,74.45,74.55,17649.000,16705.000,74.10,74.25,30000.000,20000.000,74.40,74.60,90224.000,81048.000,170000.000,100000.000,74.017,74.325,74.341,74.635,-0.325,-0.348
2017-03-01 09:40:00,74.090,74.444,5975.000,1000.000,74.05,74.10,40000.000,30000.000,74.35,74.45,32677.000,4618.000,74.00,74.15,40000.000,30000.000,74.30,74.55,92529.000,63738.000,160000.000,110000.000,73.940,74.235,74.269,74.573,-0.325,-0.345
2017-03-01 09:41:00,74.117,74.490,5494.000,5331.000,74.05,74.15,20000.000,20000.000,74.40,74.45,35346.000,12625.000,74.00,74.20,40000.000,20000.000,74.35,74.50,92204.000,69279.000,200000.000,90000.000,73.953,74.255,74.282,74.533,-0.325,-0.338
2017-03-01 09:42:00,74.136,74.486,1533.000,1294.000,74.10,74.15,10000.000,20000.000,74.40,74.45,6604.000,14611.000,74.05,74.20,50000.000,40000.000,74.35,74.50,74385.000,64766.000,190000.000,100000.000,73.976,74.272,74.276,74.530,-0.300,-0.335
2017-03-01 09:43:00,74.175,74.520,2940.000,125.000,74.10,74.15,20000.000,40000.000,74.40,74.50,9117.000,2463.000,74.05,74.20,70000.000,10000.000,74.35,74.55,93344.000,50816.000,220000.000,110000.000,73.958,74.290,74.295,74.614,-0.325,-0.339
2017-03-01 09:44:00,74.261,74.578,1523.000,2988.000,74.20,74.25,10000.000,10000.000,74.45,74.55,24848.000,10616.000,74.15,74.30,50000.000,10000.000,74.40,74.60,118279.000,81632.000,220000.000,70000.000,74.061,74.375,74.343,74.671,-0.275,-0.348
2017-03-01 09:45:00,74.242,74.586,6973.000,1719.000,74.15,74.25,20000.000,30000.000,74.45,74.60,9436.000,4177.000,74.10,74.30,70000.000,10000.000,74.40,74.65,100533.000,59499.000,220000.000,100000.000,74.022,74.388,74.357,74.700,-0.325,-0.342
2017-03-01 09:46:00,74.224,74.557,5794.000,6351.000,74.15,74.25,10000.000,20000.000,74.45,74.55,15576.000,12359.000,74.10,74.30,60000.000,20000.000,74.40,74.60,95224.000,75656.000,190000.000,90000.000,74.032,74.358,74.345,74.650,-0.300,-0.342
2017-03-01 09:47:00,74.266,74.602,929.000,5433.000,74.20,74.25,10000.000,20000.000,74.50,74.60,8463.000,14889.000,74.15,74.30,30000.000,10000.000,74.45,74.65,103178.000,74104.000,170000.000,90000.000,74.052,74.369,74.385,74.711,-0.325,-0.342
2017-03-01 09:48:00,74.285,74.650,917.000,239.000,74.25,74.30,50000.000,20000.000,74.50,74.65,13980.000,8348.000,74.20,74.35,40000.000,20000.000,74.45,74.70,86936.000,73602.000,230000.000,90000.000,74.119,74.438,74.409,74.761,-0.300,-0.326
2017-03-01 09:49:00,74.304,74.666,2065.000,2873.000,74.25,74.30,20000.000,20000.000,74.55,74.65,18638.000,15652.000,74.20,74.35,50000.000,40000.000,74.50,74.70,108214.000,73609.000,210000.000,100000.000,74.124,74.426,74.440,74.730,-0.325,-0.313
2017-03-01 09:50:00,74.295,74.607,9295.000,4174.000,74.20,74.25,40000.000,40000.000,74.50,74.60,15119.000,3527.000,74.15,74.30,20000.000,10000.000,74.45,74.65,141429.000,67210.000,200000.000,100000.000,74.051,74.375,74.400,74.680,-0.325,-0.306
2017-03-01 09:51:00,74.188,74.524,11131.000,12500.000,74.10,74.20,70000.000,30000.000,74.40,74.50,17016.000,11768.000,74.05,74.25,50000.000,40000.000,74.35,74.60,142698.000,93570.000,230000.000,110000.000,73.982,74.311,74.317,74.609,-0.300,-0.292
2017-03-01 09:52:00,74.201,74.536,9675.000,5233.000,74.15,74.20,20000.000,10000.000,74.45,74.50,25538.000,8018.000,74.10,74.25,60000.000,70000.000,74.40,74.60,137407.000,90974.000,200000.000,120000.000,74.028,74.332,74.358,74.629,-0.300,-0.280
2017-03-01 09:53:00,74.196,74.481,11295.000,10117.000,74.10,74.20,60000.000,10000.000,74.40,74.50,16005.000,3472.000,74.05,74.25,60000.000,30000.000,74.35,74.55,144402.000,82908.000,220000.000,120000.000,73.981,74.319,74.316,74.608,-0.300,-0.283
2017-03-01 09:54:00,74.159,74.456,7205.000,5000.000,74.10,74.15,70000.000,10000.000,74.40,74.45,15405.000,4175.000,74.05,74.20,50000.000,30000.000,74.35,74.50,139787.000,80837.000,240000.000,120000.000,73.977,74.288,74.315,74.554,-0.300,-0.279
2017-03-01 09:55:00,74.063,74.341,32907.000,834.000,74.00,74.05,10000.000,30000.000,74.30,74.40,3635.000,598.000,73.95,74.10,30000.000,20000.000,74.25,74.45,95231.000,38158.000,140000.000,150000.000,73.905,74.192,74.189,74.517,-0.325,-0.288
2017-03-01 09:56:00,74.112,74.373,7.000,2744.000,74.10,74.15,40000.000,10000.000,74.30,74.45,1267.000,14888.000,74.05,74.20,40000.000,50000.000,74.25,74.50,70848.000,86557.000,170000.000,150000.000,73.961,74.284,74.215,74.560,-0.250,-0.294
2017-03-01 09:57:00,74.132,74.410,6275.000,1809.000,74.10,74.15,20000.000,10000.000,74.35,74.45,5502.000,16376.000,74.05,74.20,40000.000,40000.000,74.30,74.50,96845.000,86910.000,160000.000,130000.000,73.970,74.284,74.250,74.562,-0.275,-0.285
2017-03-01 09:58:00,74.137,74.434,2435.000,2260.000,74.10,74.15,10000.000,20000.000,74.40,74.45,15251.000,8349.000,74.05,74.20,10000.000,50000.000,74.35,74.50,105011.000,82115.000,130000.000,150000.000,73.975,74.289,74.269,74.543,-0.300,-0.278
2017-03-01 09:59:00,74.090,74.369,6473.000,435.000,74.05,74.10,50000.000,30000.000,74.30,74.45,35119.000,6048.000,74.00,74.15,30000.000,50000.000,74.25,74.50,87447.000,55168.000,160000.000,160000.000,73.945,74.242,74.219,74.544,-0.300,-0.284
2017-03-01 10:00:00,74.093,74.414,8855.000,85.000,74.05,74.10,10000.000,30000.000,74.35,74.45,34269.000,613.000,74.00,74.15,50000.000,40000.000,74.30,74.50,92381.000,49383.000,150000.000,140000.000,73.952,74.253,74.243,74.539,-0.325,-0.282
2017-03-01 10:01:00,74.150,74.445,2051.000,1706.000,74.10,74.15,40000.000,40000.000,74.35,74.50,6805.000,2669.000,74.05,74.20,40000.000,20000.000,74.30,74.55,92553.000,61029.000,180000.000,140000.000,73.964,74.306,74.258,74.593,-0.300,-0.287
2017-03-01 10:02:00,74.245,74.477,100.000,4990.000,74.20,74.25,20000.000,10000.000,74.40,74.50,908.000,26236.000,74.15,74.30,60000.000,30000.000,74.35,74.55,70407.000,89135.000,180000.000,120000.000,74.017,74.353,74.297,74.612,-0.225,-0.300
2017-03-01 10:03:00,74.147,74.411,1663.000,127.000,74.10,74.15,20000.000,40000.000,74.35,74.45,7419.000,16969.000,74.05,74.20,30000.000,40000.000,74.30,74.50,108710.000,86453.000,140000.000,140000.000,73.968,74.274,74.246,74.532,-0.275,-0.306
2017-03-01 10:04:00,74.075,74.383,12047.000,1776.000,74.05,74.10,20000.000,20000.000,74.35,74.40,54940.000,15443.000,74.00,74.15,30000.000,10000.000,74.30,74.45,118207.000,91010.000,160000.000,140000.000,73.962,74.222,74.237,74.514,-0.300,-0.316
2017-03-01 10:05:00,74.058,74.369,53128.000,14409.000,74.00,74.10,20000.000,10000.000,74.30,74.40,8364.000,18539.000,73.95,74.15,20000.000,10000.000,74.25,74.45,128321.000,101388.000,140000.000,100000.000,73.920,74.198,74.193,74.525,-0.300,-0.319
2017-03-01 10:06:00,74.037,74.355,46372.000,1500.000,74.00,74.05,20000.000,30000.000,74.30,74.40,5290.000,2358.000,73.95,74.10,50000.000,10000.000,74.25,74.45,118491.000,67426.000,160000.000,130000.000,73.914,74.187,74.206,74.515,-0.325,-0.301
2017-03-01 10:07:00,74.054,74.352,2008.000,1035.000,74.05,74.10,20000.000,30000.000,74.30,74.40,48218.000,16633.000,74.00,74.15,40000.000,10000.000,74.25,74.45,93491.000,104152.000,140000.000,120000.000,73.947,74.230,74.204,74.517,-0.275,-0.298
2017-03-01 10:08:00,74.054,74.350,100.000,12431.000,74.05,74.10,20000.000,60000.000,74.30,74.40,43726.000,14092.000,74.00,74.15,50000.000,10000.000,74.25,74.45,90242.000,113904.000,160000.000,160000.000,73.941,74.220,74.206,74.494,-0.275,-0.296
2017-03-01 10:09:00,74.051,74.408,8686.000,3860.000,74.05,74.10,10000.000,10000.000,74.35,74.40,44693.000,6570.000,74.00,74.15,40000.000,50000.000,74.30,74.50,104914.000,106714.000,160000.000,140000.000,73.955,74.241,74.244,74.554,-0.300,-0.279
2017-03-01 10:10:00,74.065,74.392,6529.000,200.000,74.05,74.10,50000.000,60000.000,74.35,74.50,49693.000,5908.000,74.00,74.15,50000.000,20000.000,74.30,74.55,108130.000,79357.000,160000.000,210000.000,73.955,74.262,74.281,74.593,-0.350,-0.270
