,stockVWAP,futureVWAP,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,midBasis,FairValue
2017-03-01 09:16:00,683.180,685.954,26.000,25.000,683.05,683.10,700.000,700.000,685.75,686.25,8078.000,503.000,683.00,683.20,700.000,1400.000,685.70,686.30,8349.000,695.000,3500.000,4900.000,682.993,683.223,685.540,686.471,-2.925,-2.859
2017-03-01 09:17:00,682.837,685.381,7.000,35.000,682.75,682.80,700.000,700.000,685.15,685.50,206.000,51.000,682.70,682.90,700.000,700.000,685.10,685.75,898.000,626.000,4200.000,4900.000,682.610,682.981,685.042,685.821,-2.550,-2.918
2017-03-01 09:18:00,682.517,685.475,29.000,4.000,682.40,682.75,700.000,700.000,685.30,685.80,50.000,82.000,682.35,682.80,700.000,700.000,685.25,685.85,675.000,1212.000,3500.000,4900.000,682.135,682.958,685.160,685.971,-2.975,-2.852
2017-03-01 09:19:00,682.046,685.156,11.000,33.000,681.65,682.00,700.000,1400.000,684.85,685.80,19.000,20.000,681.60,682.25,700.000,700.000,684.80,685.90,413.000,193.000,4200.000,8400.000,681.550,682.304,684.575,686.021,-3.500,-2.860
2017-03-01 09:20:00,682.070,684.955,30.000,195.000,682.15,682.25,700.000,700.000,685.15,685.20,100.000,150.000,682.00,682.35,700.000,700.000,685.05,685.45,1164.000,1917.000,6300.000,14000.000,681.785,682.465,684.756,685.870,-2.975,-2.954
2017-03-01 09:21:00,682.740,685.538,152.000,41.000,682.30,682.65,700.000,700.000,685.55,685.85,98.000,62.000,682.25,682.70,700.000,1400.000,685.50,685.90,1723.000,164.000,5600.000,15400.000,682.131,682.731,685.219,685.991,-3.225,-3.046
2017-03-01 09:22:00,682.050,684.890,399.000,4.000,682.00,682.10,700.000,700.000,684.65,685.00,20.000,2.000,681.90,682.25,1400.000,700.000,684.55,685.20,893.000,531.000,5600.000,4900.000,681.874,682.397,684.475,685.336,-2.775,-3.156
2017-03-01 09:23:00,682.578,685.204,81.000,167.000,682.55,682.70,2800.000,700.000,685.00,685.35,252.000,16.000,682.50,682.75,700.000,700.000,684.95,685.40,454.000,620.000,5600.000,4200.000,682.491,682.804,684.900,685.533,-2.550,-3.310
2017-03-01 09:24:00,683.653,686.806,343.000,41.000,683.55,683.60,700.000,6300.000,686.70,687.00,84.000,96.000,683.50,683.65,2800.000,3500.000,686.65,687.25,1665.000,409.000,5600.000,12600.000,683.438,683.736,686.531,687.158,-3.275,-3.309
2017-03-01 09:25:00,682.730,686.083,50.000,104.000,682.50,682.60,700.000,1400.000,685.85,686.25,667.000,1.000,682.30,682.70,2100.000,700.000,685.80,686.35,1760.000,218.000,5600.000,4900.000,682.225,682.703,685.750,686.386,-3.500,-3.305
