,stockVWAP,futureVWAP,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,midBasis,FairValue
2017-03-01 09:16:00,56.721,56.859,1899.000,1143.000,56.75,56.85,10000.000,40000.000,56.85,56.90,5150.000,3536.000,56.70,56.90,10000.000,20000.000,56.80,57.00,22893.000,56904.000,60000.000,100000.000,56.613,56.986,56.675,56.995,-0.075,-0.012
2017-03-01 09:17:00,56.766,56.917,1603.000,2458.000,56.85,56.95,20000.000,30000.000,56.85,57.00,4946.000,13327.000,56.75,57.00,20000.000,20000.000,56.80,57.10,21905.000,66975.000,90000.000,110000.000,56.683,57.086,56.728,57.127,-0.025,0.016
2017-03-01 09:18:00,56.815,56.823,1248.000,2938.000,56.85,56.90,10000.000,20000.000,56.85,56.90,5875.000,7515.000,56.80,56.95,30000.000,10000.000,56.80,56.95,28181.000,63500.000,80000.000,140000.000,56.730,57.025,56.763,57.021,0.000,0.006
2017-03-01 09:19:00,56.818,56.850,370.000,1380.000,56.85,56.90,40000.000,30000.000,56.80,56.95,1605.000,2467.000,56.80,56.95,20000.000,70000.000,56.75,57.00,22596.000,49220.000,120000.000,160000.000,56.716,57.031,56.729,57.028,0.000,-0.027
2017-03-01 09:20:00,56.912,56.870,2000.000,471.000,56.85,56.90,30000.000,20000.000,56.85,56.95,73571.000,4453.000,56.80,56.95,20000.000,70000.000,56.80,57.00,152624.000,56280.000,100000.000,150000.000,56.766,57.032,56.770,57.037,-0.025,-0.063
2017-03-01 09:21:00,57.044,56.953,12885.000,17128.000,56.95,57.00,70000.000,60000.000,56.90,57.00,85677.000,13206.000,56.90,57.05,10000.000,10000.000,56.85,57.05,272362.000,90475.000,150000.000,150000.000,56.838,57.109,56.827,57.097,0.025,-0.106
2017-03-01 09:22:00,57.263,57.277,5925.000,8008.000,57.15,57.20,10000.000,30000.000,57.10,57.20,135928.000,7295.000,57.10,57.25,40000.000,20000.000,57.00,57.25,282130.000,56138.000,620000.000,130000.000,57.041,57.321,56.905,57.312,0.025,-0.144
2017-03-01 09:23:00,57.118,57.173,15339.000,15730.000,57.15,57.20,20000.000,10000.000,57.15,57.25,10797.000,2672.000,57.10,57.25,40000.000,30000.000,57.10,57.30,59312.000,143786.000,130000.000,150000.000,57.065,57.300,57.054,57.377,-0.025,-0.175
2017-03-01 09:24:00,56.850,57.048,26303.000,32941.000,56.80,56.85,20000.000,10000.000,57.05,57.10,10450.000,2636.000,56.75,56.90,60000.000,10000.000,57.00,57.15,68358.000,51966.000,140000.000,140000.000,56.723,56.901,56.968,57.236,-0.250,-0.168
2017-03-01 09:25:00,56.806,56.944,11197.000,513.000,56.70,56.75,20000.000,30000.000,56.95,57.00,2783.000,3348.000,56.65,56.80,30000.000,30000.000,56.90,57.10,67233.000,18531.000,110000.000,160000.000,56.583,56.864,56.823,57.150,-0.250,-0.172
2017-03-01 09:26:00,56.743,56.869,100.000,2982.000,56.70,56.75,40000.000,10000.000,56.80,56.95,1753.000,2906.000,56.65,56.80,20000.000,90000.000,56.75,57.00,48366.000,43241.000,150000.000,200000.000,56.541,56.891,56.693,57.070,-0.150,-0.172
2017-03-01 09:27:00,56.759,56.961,100.000,2951.000,56.80,56.85,20000.000,60000.000,56.90,57.00,2183.000,2220.000,56.75,56.90,40000.000,40000.000,56.85,57.10,28051.000,67078.000,140000.000,170000.000,56.652,56.990,56.786,57.103,-0.125,-0.168
