,Bid Volume,Bid Price,Ask Price,Ask Volume,stockVWAP Last,stockVWAP High,stockVWAP Low,stockVWAP,totalTradedStockVolume,totalTradedFutureVolume,totalTradedStockValue,totalTradedFutureValue
2017-03-31 09:30:00,1003.3846153846154,162.26153846153846,162.35384615384618,1617.076923076923,162.089,162.678,162.005,162.3133076923077,202013.0,1057000.0,3279920445.0,17267705000.0
2017-03-31 10:00:00,1084.0666666666666,162.34999999999994,162.44,1228.1,162.44299999999996,162.907,161.936,162.3988666666667,684612.0,2597000.0,11127554210.0,42452270000.0
2017-03-31 10:30:00,1570.0666666666666,162.37,162.45333333333338,1108.3333333333333,162.25,162.584,161.923,162.36483333333334,910373.0,3094000.0,14793855515.0,50554332500.0
2017-03-31 11:00:00,1579.4333333333334,162.4666666666667,162.5333333333333,1202.5,162.347,162.623,162.045,162.43046666666663,1024481.0,3528000.0,16648136135.0,57638105000.0
2017-03-31 11:30:00,1325.0,162.355,162.41833333333327,914.2333333333333,162.34799999999996,162.502,162.143,162.3168,1106712.0,3661000.0,17983482085.0,59807492500.0
2017-03-31 12:00:00,1071.4333333333334,162.60333333333335,162.69166666666666,1031.7333333333333,162.59,162.813,162.33,162.59990000000008,1245603.0,4102000.0,20243669280.0,67023932500.0
2017-03-31 12:30:00,652.5666666666667,162.57666666666668,162.645,508.6,162.486,162.713,162.468,162.5854333333333,1301790.0,4280500.0,21157452650.0,69943510000.0
2017-03-31 13:00:00,1132.9333333333334,162.25999999999996,162.33666666666664,1012.2,162.149,162.44299999999996,162.149,162.32296666666667,1415702.0,4543000.0,23006241965.0,74228577500.0
2017-03-31 13:30:00,1096.8333333333333,162.05499999999995,162.12000000000003,734.2,162.3,162.339,161.809,162.1136,1547527.0,4928000.0,25142741945.0,80508085000.0
2017-03-31 14:00:00,708.1,162.2583333333333,162.33666666666664,902.6,162.115,162.489,162.085,162.29949999999997,1618713.0,5047000.0,26298141210.0,82450760000.0
2017-03-31 14:30:00,1170.7333333333333,162.08000000000004,162.1616666666667,879.5333333333333,162.062,162.21200000000005,162.048,162.11560000000003,1728850.0,5323500.0,28083534395.0,86956047500.0
2017-03-31 15:00:00,981.6,162.2983333333333,162.3616666666667,1094.5666666666666,162.374,162.725,162.046,162.28416666666664,1981421.0,5803000.0,32189847720.0,94787542500.0
2017-03-31 15:30:00,2018.4,162.42999999999995,162.51000000000002,1494.3333333333333,163.139,163.289,161.86,162.47913333333332,2508421.0,7791000.0,40750887350.0,127317382500.0
2017-04-03 09:30:00,1565.3076923076924,167.51153846153846,167.6192307692308,2494.846153846154,167.482,168.054,166.937,167.53861538461538,1547051.0,4571000.0,25892934015.0,76664262500.0
2017-04-03 10:00:00,1594.2666666666667,166.94000000000003,167.00999999999996,1294.7,166.955,167.386,166.679,166.98803333333328,2183822.0,6338500.0,36525150945.0,106300285000.0
2017-04-03 10:30:00,1187.8666666666666,166.45666666666662,166.53,2372.133333333333,166.204,166.921,166.15,166.48683333333335,2470040.0,7402500.0,41288718450.0,124071815000.0
2017-04-03 11:00:00,842.0,165.7816666666667,165.85999999999999,2301.733333333333,165.726,166.31099999999995,165.351,165.77769999999998,2882624.0,8715000.0,48126196925.0,145875310000.0
2017-04-03 11:30:00,791.8666666666667,165.8216666666667,165.90666666666664,1562.4333333333334,165.747,166.02900000000002,165.511,165.79816666666665,3074144.0,9523500.0,51302262980.0,159312720000.0
2017-04-03 12:00:00,1572.5333333333333,165.73833333333326,165.82333333333335,1700.7333333333333,165.747,165.91400000000004,165.62400000000005,165.75640000000007,3152157.0,9807000.0,52595695075.0,164020132500.0
2017-04-03 12:30:00,1179.1,165.76333333333335,165.8383333333333,1742.6,165.741,166.085,165.639,165.76523333333327,3289041.0,10489500.0,54866064335.0,175360132500.0
2017-04-03 13:00:00,1334.9333333333334,165.8033333333333,165.8816666666667,2059.5333333333333,165.33900000000003,166.047,165.33900000000003,165.83323333333334,3385058.0,10836000.0,56457960925.0,181118857500.0
2017-04-03 13:30:00,1057.8666666666666,165.27500000000003,165.35,2353.9333333333334,165.37900000000005,165.40599999999995,165.123,165.3166666666667,3500110.0,11291000.0,58359757575.0,188653290000.0
2017-04-03 14:00:00,790.1666666666666,165.21500000000003,165.27499999999998,2501.0333333333333,165.271,165.393,165.062,165.24489999999997,3582833.0,11571000.0,59726078720.0,193286047500.0
2017-04-03 14:30:00,1641.2333333333333,163.9,163.99166666666665,1820.7333333333333,162.279,164.892,161.808,163.9558666666667,4323166.0,14997500.0,71822635870.0,249343937500.0
2017-04-03 15:00:00,2091.2,163.33499999999998,163.40833333333333,1711.2666666666667,163.689,163.779,162.352,163.37556666666666,4729343.0,16156000.0,78459160295.0,268264692500.0
2017-04-03 15:30:00,1543.0666666666666,164.1516666666667,164.22833333333332,3260.2,164.128,164.58700000000005,163.711,164.19339999999997,5502715.0,18245500.0,91161131735.0,302610595000.0
2017-04-05 09:30:00,1024.5384615384614,163.66923076923078,163.7576923076923,625.5384615384615,163.28,163.92700000000005,163.28,163.69969230769232,192417.0,451500.0,3152872745.0,7405650000.0
2017-04-05 10:00:00,799.9,163.25999999999996,163.32500000000002,756.2666666666667,163.026,163.665,162.787,163.2630333333333,386331.0,889000.0,6317749105.0,14563430000.0
2017-04-05 10:30:00,709.4,162.87666666666664,162.93999999999997,1173.7666666666667,162.946,163.18,162.565,162.88603333333336,525943.0,1288000.0,8591315100.0,21084892500.0
2017-04-05 11:00:00,732.5333333333333,162.86499999999998,162.93999999999997,1006.1,162.957,163.061,162.681,162.90323333333336,684869.0,1767500.0,11180775160.0,28927867500.0
2017-04-05 11:30:00,493.1333333333333,162.83000000000004,162.90666666666664,690.8,162.909,162.953,162.77100000000004,162.86876666666666,801222.0,2040500.0,13075910100.0,33397105000.0
2017-04-05 12:00:00,458.56666666666666,162.74833333333336,162.8133333333334,913.7333333333333,162.717,162.945,162.625,162.7396,862156.0,2317000.0,14067807105.0,37916690000.0
2017-04-05 12:30:00,622.3666666666667,162.95499999999998,163.02499999999995,950.2333333333333,163.041,163.578,162.534,162.95409999999998,1058917.0,2933000.0,17274841550.0,48007190000.0
2017-04-05 13:00:00,648.3666666666667,163.1966666666667,163.26333333333332,620.1666666666666,163.308,163.634,162.803,163.20223333333334,1181722.0,3475500.0,19280469080.0,56912887500.0
2017-04-05 13:30:00,654.3333333333334,162.83999999999997,162.90666666666672,1018.5333333333333,162.724,163.327,162.329,162.86236666666667,1413895.0,3867500.0,23060055335.0,63323225000.0
2017-04-05 14:00:00,491.9,162.325,162.39833333333337,814.1333333333333,162.025,162.998,161.006,162.36623333333333,1769292.0,4497500.0,28816676660.0,73572625000.0
2017-04-05 14:30:00,757.7333333333333,162.01166666666674,162.07333333333327,1211.7666666666667,162.218,162.296,161.768,161.99979999999996,2047698.0,5008500.0,33325753270.0,81898267500.0
2017-04-05 15:00:00,663.2,162.29166666666669,162.35666666666665,1328.4333333333334,162.141,162.439,162.033,162.2465333333333,2150900.0,5302500.0,35001166245.0,86694982500.0
2017-04-05 15:30:00,1441.8666666666666,162.5166666666667,162.59333333333336,2912.1666666666665,162.44799999999995,162.906,162.124,162.54340000000002,2519102.0,6699000.0,40990201730.0,109530995000.0
2017-04-06 09:30:00,1081.3076923076924,162.33461538461538,162.41923076923078,702.6153846153846,162.453,162.912,161.607,162.36876923076923,158701.0,721000.0,2575712195.0,11752510000.0
2017-04-06 10:00:00,1062.5,162.99666666666664,163.09000000000003,1379.0666666666666,164.85,165.321,162.05,163.0376,814230.0,3668000.0,13326931545.0,60277350000.0
