,OPEN,HIGH,LOW,CLOSE,VOLUME,30dSMA,90dSMA,120dSMA,30dEMA,90dEMA,120dEMA,30dSDev,90dSDev,120dSDev,30dMOM,90dMOM,120dMOM,30-90MACD,30-120MACD,120dBBand_low,120dBBand_high,90dBBand_low,90dBBand_high,30dRSI,90dRSI,120dRSI,PVT,30dATR,90dATR,120dATR,30dSTOCH,90dSTOCH,120dSTOCH,OSC
2014-12-31,201.702157673,203.379228195,199.122049176,199.294056409,1631764.0,195.362496639,179.159574549,175.99997687,183.548237387,165.646568094,158.316043901,4.77542728121,14.3351438407,13.64859968,9.29555755434,30.1657685013,31.1333091874,16.2029220901,19.3625197693,162.35137719,189.64857655,164.824430708,193.494718389,59.2339456073,60.4395059279,58.6817491406,-24909.2254973,3.04691701486,2.95868367492,2.76053691673,86.3435923581,78.3315505635,82.9808944416,306.336383905
2014-12-30,202.490524157,202.762868943,200.670114274,201.472814695,1180680.0,195.05264472,178.824399343,175.740532626,183.180196314,165.386420781,158.078580109,4.81295496543,14.2112052598,13.4971489475,11.2449728626,31.8141711517,33.9140927888,16.2282453772,19.312112094,162.243383679,189.237681574,164.613194083,193.035604603,61.6205006666,61.1370364795,59.5410920236,-3372.53588164,2.95613541962,2.92428222831,2.73640812431,87.3070346164,78.3139164406,83.0145379408,203.463777243
2014-12-29,202.132175755,203.307558515,201.429812887,202.719867135,1218833.0,194.677812292,178.470908553,175.457915186,182.752626627,165.107416892,157.82711404,4.73292462398,14.0361123072,13.3075443024,13.2087221069,32.9178842306,34.0287642776,16.206903739,19.2198971052,162.150370884,188.765459489,164.434796245,192.50702086,63.8011082822,61.613147914,59.5795335324,-4051.23572706,2.9422792814,2.91122241987,2.73616922537,87.8964979351,78.3027725966,83.0005208403,23.2837860998
2014-12-26,203.622905109,204.296600105,201.917166714,202.074840011,1607376.0,194.237521555,178.105154283,175.174342151,182.285914504,164.816614162,157.566963663,4.57059875317,13.8244232491,13.0823903685,13.5240687009,34.0000964054,33.5557443866,16.1323672714,19.0631794039,162.091951782,188.256732519,164.280731034,191.929577532,64.03808957,61.9040449664,59.4715973458,-7317.58902127,2.95565762175,2.91305397837,2.73258574135,88.1967120644,78.2737437861,82.995257145,64.7774554673
2014-12-24,201.945834586,204.009921383,201.945834586,203.078215537,981961.0,193.786719265,177.727375434,174.894710948,181.823370297,164.528550084,157.309043107,4.43590251493,13.6251688555,12.8592888576,15.3444785843,35.1898131009,34.0574321497,16.0593438303,18.8920083171,162.03542209,187.753999805,164.102206579,191.35254429,65.9895444361,62.3914799112,59.6405096162,-5546.02398781,2.94180148353,2.90572774437,2.72374648076,88.661627758,78.1700210038,82.9955588704,79.1635064782
2014-12-23,204.597612763,204.798287868,202.949210112,202.949210112,2190217.0,193.275236645,177.336377511,174.610899013,181.32656184,164.230501112,157.043812882,4.20630872792,13.3924371985,12.6053620274,14.4271066745,38.2142736158,33.2117299204,15.9388591342,18.6643376322,162.005536986,187.21626104,163.943940313,190.72881471,64.829821718,63.1758426411,59.3699450016,20525.7866439,2.9375013027,2.91894681876,2.71944629993,88.8715732312,78.0365890413,82.9929150293,79.9067987308
2014-12-22,202.017504266,203.565569364,201.902832778,203.522567556,2090886.0,192.794333089,176.911774471,174.334134597,180.821156394,163.931145114,156.777792706,3.87372415511,13.1752916183,12.3397361763,16.5915310241,38.1856057437,34.0430982137,15.8825586185,18.4601984924,161.994398421,186.673870773,163.736482853,190.087066089,66.7051522586,63.1633560629,59.6216172419,32984.1267606,2.95517982388,2.92961763785,2.71275712976,89.207509766,77.7456262983,83.0097085135,99.3625021997
2014-12-19,199.95341747,201.831163097,199.351392154,200.956792996,4891344.0,192.241282055,176.487489963,174.050442112,180.290536062,163.625041621,156.506907818,3.45050568223,12.9211089115,12.0510005039,14.7424532685,36.3938637324,32.4376973716,15.7537920926,18.1908399434,161.999441608,186.101442616,163.566381051,189.408598874,65.4174786389,62.7026215729,59.2518397383,122984.678087,2.92268956874,2.9100279252,2.71180153402,89.1991552733,77.4488103516,82.9997944324,70.9803310436
2014-12-18,196.54194068,200.698782146,195.968583237,200.698782146,3359781.0,191.749866946,176.083113699,173.780127967,179.807485204,163.336408858,156.249321238,3.20771125313,12.7145548209,11.8036608307,15.0004641181,37.4545750031,34.0717660858,15.6667532474,17.9697389792,161.976467136,185.583788798,163.368558878,188.79766852,65.6031012375,62.9767580453,59.6281594297,162453.561724,2.91026682413,2.89760518059,2.71000979201,89.2959851601,77.1304496629,82.9795728392,100.598453694
2014-12-17,192.084086556,194.377516331,189.919662207,193.961832184,3948875.0,191.249851476,175.666951754,173.496196583,179.319174286,163.047539284,155.991736589,2.92097427033,12.5111414176,11.5579365199,9.18088606562,31.1476431235,26.6897889995,15.5828997213,17.7536548926,161.938260063,185.054133103,163.155810337,188.178093172,60.8651399491,61.2847943498,57.8110579747,102332.370123,2.78603937802,2.83517292562,2.66426064599,89.2244823,76.7264754299,82.898813917,81.710324411
