,OPEN,HIGH,LOW,CLOSE,VOLUME
1/2/2014,69.82092746,69.86046856,69.16198956,69.35527889,119636900
12/31/2013,69.86046859,70.13282739,69.79896157,70.13282739,86119900
12/30/2013,69.77260488,69.83850262,69.64521329,69.75064555,56857000
12/27/2013,69.87364681,69.90878446,69.68035749,69.76382383,61814000
12/26/2013,69.53978041,69.81214624,69.53099941,69.76821441,63365000
12/24/2013,69.18834562,69.39481371,69.18395534,69.35966947,45368800
12/23/2013,69.14881139,69.23227774,68.98188485,69.18395563,85598000
12/20/2013,68.3756596,68.94674043,68.32294677,68.75784182,197087000
12/19/2013,68.16114175,68.38834184,67.95579552,68.29659216,136531200
12/18/2013,67.17370461,68.40144861,66.47463673,68.38834145,234906000
12/17/2013,67.37469114,67.3877983,66.88096949,67.05573482,89886000
12/16/2013,67.18681195,67.56256349,67.16496465,67.30478207,96195000
12/13/2013,66.99019927,67.06010819,66.6712495,66.81980095,107808000
12/12/2013,67.05136754,67.14749079,66.66687629,66.82854102,115565000
12/11/2013,68.00385665,68.01696381,66.99019946,67.08632227,130591000
12/10/2013,68.07375906,68.2397908,67.92520761,67.97326923,80976000
12/9/2013,68.28785162,68.37523428,68.15240777,68.25726417,70124000
12/6/2013,67.93831487,68.13056093,67.71111478,68.05628498,127728000
12/5/2013,67.38779808,67.53198208,67.10816936,67.18244486,106934000
12/4/2013,67.25235348,67.85529855,66.92466357,67.52760863,123033000
12/3/2013,67.61936483,67.81597746,67.28293477,67.53634917,116563000
12/2/2013,68.12182,68.27037145,67.75480905,67.87714618,99726000
11/29/2013,68.22231655,68.41018905,67.99511647,68.08249913,55870900
11/27/2013,68.02569746,68.18736218,67.92957465,68.13492743,58800000
11/26/2013,67.9601616,68.17862155,67.82471775,67.94268131,86994000
11/25/2013,68.13930088,68.15677462,67.8072374,67.92084094,79486000
11/22/2013,67.63683854,68.00822306,67.54508886,67.99948292,81296000
11/21/2013,67.19555208,67.66742643,67.14749089,67.60625808,92841000
11/20/2013,67.3790578,67.61499191,66.76299945,66.97709237,124909000
11/19/2013,67.3528436,67.58877727,67.08632203,67.22176632,93891000
11/18/2013,67.79850357,67.86403894,67.21739926,67.39216459,104796000
11/15/2013,67.45333352,67.69800735,67.3528437,67.66742645,102818000
11/14/2013,67.00767313,67.39216481,66.88096942,67.32662945,103435000
11/13/2013,65.93722045,66.95961167,65.93722045,66.93777092,103844000
11/12/2013,66.30860517,66.49211108,66.05955778,66.31734575,83990000
11/11/2013,66.38724796,66.56638686,66.29549871,66.47463718,62614000
11/8/2013,65.40417808,66.47026391,65.39544449,66.46152333,136713000
11/7/2013,66.55327941,66.61444776,65.35611675,65.43039225,157000000
