,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue,benchmark_score
2017-01-06 09:17:00,204.774,205.250,-0.500,206,48,204.70,204.80,4000,4000,205.20,205.30,1480,116,204.65,204.85,4000,8000,205.15,205.35,14326,10669,20000,24000,204.548,204.964,205.080,205.425,-0.865,0.000
2017-01-06 09:18:00,204.763,205.685,-0.650,8,1783,204.80,204.85,8000,4000,205.35,205.60,13,4028,204.75,204.90,40000,4000,205.30,205.80,7566,19711,72000,20000,204.609,204.994,205.236,205.830,-0.905,365.000
2017-01-06 09:19:00,204.635,205.415,-0.825,3783,333,204.50,204.65,8000,4000,205.35,205.45,526,1906,204.45,204.70,32000,16000,205.30,205.50,17657,8090,60000,32000,204.398,204.772,205.227,205.531,-0.915,347.940
2017-01-06 09:20:00,204.294,205.035,-0.875,635,97,204.20,204.35,8000,20000,205.05,205.25,1378,1902,204.15,204.45,8000,4000,204.90,205.35,13288,13644,32000,60000,204.059,204.544,204.869,205.380,-0.925,320.418
2017-01-06 09:21:00,204.175,205.081,-0.975,1801,350,204.10,204.20,4000,4000,205.05,205.20,2892,493,204.05,204.30,4000,8000,205.00,205.25,15324,11745,28000,36000,203.999,204.394,204.886,205.328,-0.885,297.136
2017-01-06 09:22:00,204.294,205.244,-1.000,1788,646,204.30,204.35,4000,12000,205.25,205.40,2174,738,204.25,204.40,8000,12000,205.15,205.45,11635,10655,36000,60000,204.159,204.499,205.050,205.507,-0.850,271.131
2017-01-06 09:23:00,204.637,205.573,-0.850,5741,1258,204.65,204.80,8000,16000,205.55,205.60,2383,3924,204.60,204.85,12000,8000,205.50,205.65,16434,29991,48000,56000,204.573,204.945,205.433,205.679,-0.870,247.583
2017-01-06 09:24:00,205.057,205.886,-0.875,1796,4332,204.90,205.00,8000,4000,205.75,205.90,696,5002,204.85,205.05,8000,16000,205.70,205.95,50040,19075,60000,40000,204.743,205.103,205.640,206.030,-0.900,229.599
2017-01-06 09:25:00,204.428,205.367,-0.925,400,2176,204.40,204.55,4000,4000,205.30,205.50,2022,1563,204.35,204.60,4000,4000,205.25,205.55,12596,20780,32000,40000,204.261,204.680,205.150,205.620,-0.925,214.835
2017-01-06 09:26:00,204.849,205.634,-0.775,3383,2885,204.85,204.90,8000,20000,205.60,205.70,879,5660,204.80,204.95,12000,16000,205.55,205.75,15423,26786,52000,72000,204.718,205.007,205.508,205.781,-0.970,202.549
