,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue,benchmark_score
2017-01-06 09:17:00,154.119,155.062,-1.000,47,1788,154.00,154.15,6000,6000,154.95,155.20,618,1235,153.95,154.20,6000,6000,154.90,155.25,15481,11965,30000,42000,153.836,154.283,154.820,155.436,-1.020,0.000
2017-01-06 09:18:00,153.842,154.787,-1.075,6876,710,153.70,153.85,6000,6000,154.80,154.90,14817,2056,153.65,153.90,6000,6000,154.75,154.95,46648,13734,36000,36000,153.625,153.989,154.542,155.033,-1.015,20.000
2017-01-06 09:19:00,153.689,154.467,-1.000,1095,232,153.50,153.60,6000,18000,154.50,154.60,18,990,153.45,153.65,6000,18000,154.35,154.65,28122,5891,30000,60000,153.337,153.763,154.290,154.710,-1.030,21.287
2017-01-06 09:20:00,153.426,154.262,-0.975,276,1126,153.25,153.40,12000,24000,154.20,154.40,2055,3042,153.20,153.45,6000,30000,154.15,154.45,23606,10632,48000,102000,153.093,153.515,154.088,154.491,-1.025,17.619
2017-01-06 09:21:00,153.427,154.354,-1.075,2468,1247,153.25,153.40,6000,6000,154.30,154.50,9654,567,153.20,153.45,12000,30000,154.25,154.55,37926,10068,60000,84000,153.141,153.533,154.115,154.600,-1.015,16.489
2017-01-06 09:22:00,154.185,155.085,-0.975,357,3343,154.05,154.15,6000,6000,154.95,155.20,1407,1315,154.00,154.20,12000,6000,154.90,155.25,23454,11514,60000,42000,153.896,154.259,154.765,155.357,-1.005,15.411
2017-01-06 09:23:00,154.091,154.985,-1.050,1713,100,153.95,154.05,6000,12000,155.00,155.10,8245,1235,153.90,154.10,18000,12000,154.80,155.15,43299,13034,66000,54000,153.825,154.185,154.732,155.200,-0.970,15.343
2017-01-06 09:24:00,153.977,154.957,-1.075,14990,2223,153.80,154.00,6000,12000,154.90,155.05,3935,2813,153.75,154.05,6000,6000,154.80,155.10,45781,15701,48000,42000,153.726,154.106,154.706,155.136,-0.935,22.160
2017-01-06 09:25:00,153.751,154.638,-0.950,817,2246,153.65,153.80,6000,18000,154.55,154.80,1553,4065,153.60,153.85,6000,18000,154.50,154.90,20794,18178,36000,66000,153.503,153.922,154.450,154.923,-0.925,39.469
2017-01-06 09:26:00,153.871,154.844,-1.025,6203,1683,153.75,153.85,6000,6000,154.75,154.90,1109,2332,153.70,153.90,12000,24000,154.70,155.00,48282,19332,42000,54000,153.629,153.979,154.643,155.056,-0.905,49.958
2017-01-06 09:27:00,153.929,154.733,-0.925,6000,1190,153.80,153.90,6000,12000,154.70,154.85,1688,4656,153.75,153.95,6000,6000,154.60,154.90,34035,17543,36000,54000,153.652,154.001,154.550,154.983,-0.905,58.790
2017-01-06 09:28:00,153.906,154.839,-0.875,437,4911,153.90,154.00,6000,12000,154.75,154.90,7850,5325,153.85,154.05,12000,18000,154.70,155.00,12462,21981,48000,60000,153.815,154.095,154.612,155.045,-0.915,63.649
2017-01-06 09:29:00,154.163,154.938,-0.900,6370,275,154.00,154.10,12000,6000,154.90,155.00,2414,6495,153.95,154.15,12000,6000,154.80,155.05,39483,12718,48000,30000,153.856,154.190,154.744,155.100,-0.920,62.973
2017-01-06 09:30:00,154.245,155.076,-0.900,2767,202,154.15,154.20,12000,6000,155.05,155.10,776,1122,154.10,154.25,24000,6000,155.00,155.20,31129,12412,60000,42000,154.004,154.360,154.920,155.279,-0.915,60.646
2017-01-06 09:31:00,154.294,155.100,-0.925,722,204,154.20,154.25,12000,12000,155.05,155.25,3002,1000,154.15,154.30,30000,12000,155.00,155.30,26722,10451,60000,78000,154.054,154.419,154.965,155.427,-0.905,58.501
2017-01-06 09:32:00,154.403,155.283,-0.925,833,110,154.30,154.35,12000,6000,155.15,155.35,3839,900,154.25,154.40,12000,6000,155.10,155.40,24871,8229,84000,54000,154.158,154.517,155.032,155.472,-0.910,56.517
2017-01-06 09:33:00,154.520,155.335,-0.925,557,200,154.40,154.45,12000,18000,155.25,155.45,3309,789,154.35,154.50,6000,24000,155.20,155.50,22243,7015,42000,60000,154.242,154.611,155.150,155.515,-0.905,54.737
2017-01-06 09:34:00,154.486,155.293,-0.925,6826,407,154.35,154.45,12000,12000,155.25,155.40,242,2193,154.30,154.50,6000,12000,155.20,155.45,34476,13610,36000,54000,154.213,154.570,155.167,155.483,-0.910,53.158
2017-01-06 09:35:00,154.540,155.281,-0.875,649,3365,154.35,154.50,12000,12000,155.25,155.35,1202,4999,154.30,154.55,6000,18000,155.20,155.45,29282,14293,36000,60000,154.178,154.580,155.167,155.470,-0.925,51.714
2017-01-06 09:36:00,154.469,155.312,-0.875,407,370,154.40,154.45,12000,6000,155.25,155.35,9417,2564,154.35,154.50,6000,6000,155.20,155.40,25562,14641,66000,54000,154.278,154.562,155.077,155.461,-0.935,50.387
2017-01-06 09:37:00,154.301,155.219,-0.950,5502,333,154.25,154.30,6000,18000,155.15,155.30,1268,1537,154.20,154.35,6000,6000,155.10,155.35,28081,20835,54000,72000,154.121,154.421,155.028,155.446,-0.940,49.567
2017-01-06 09:38:00,154.464,155.284,-0.900,7409,1226,154.30,154.45,12000,18000,155.20,155.35,700,2380,154.25,154.50,6000,12000,155.10,155.40,34660,14712,60000,54000,154.168,154.563,155.050,155.428,-0.945,48.813
2017-01-06 09:39:00,154.405,155.259,-0.950,6956,637,154.30,154.35,12000,24000,155.20,155.35,907,100,154.25,154.40,6000,18000,155.10,155.40,40397,13266,60000,72000,154.156,154.514,155.050,155.425,-0.935,48.447
2017-01-06 09:40:00,154.360,155.181,-0.950,4188,932,154.20,154.25,12000,12000,155.10,155.25,2444,2205,154.15,154.35,6000,18000,155.05,155.35,43248,13284,60000,66000,154.049,154.419,155.005,155.382,-0.920,47.668
2017-01-06 09:41:00,154.256,155.086,-0.925,1794,334,154.15,154.20,6000,6000,155.05,155.15,1811,1015,154.10,154.25,36000,6000,155.00,155.20,30974,10866,66000,42000,154.005,154.345,154.932,155.279,-0.915,46.676
2017-01-06 09:42:00,154.227,155.071,-0.975,407,334,154.10,154.15,6000,6000,155.05,155.15,9236,75,154.05,154.20,36000,6000,155.00,155.20,43497,8800,60000,42000,153.963,154.320,154.955,155.279,-0.900,45.908
2017-01-06 09:43:00,154.318,155.138,-0.925,6407,239,154.20,154.25,6000,6000,155.10,155.20,636,3035,154.15,154.35,6000,12000,155.05,155.25,30931,13339,60000,60000,154.072,154.415,155.000,155.325,-0.890,45.694
2017-01-06 09:44:00,154.303,155.063,-0.900,6884,421,154.15,154.25,6000,6000,155.05,155.15,2858,3094,154.10,154.30,36000,6000,155.00,155.20,47950,14046,60000,54000,154.015,154.377,154.960,155.322,-0.885,46.073
2017-01-06 09:45:00,154.276,155.148,-0.875,2408,1871,154.20,154.35,12000,12000,155.05,155.25,7115,4044,154.15,154.40,42000,18000,155.00,155.35,18467,17294,72000,66000,154.102,154.457,154.971,155.391,-0.880,46.219
2017-01-06 09:46:00,154.335,155.144,-0.900,6795,1869,154.20,154.30,24000,12000,155.10,155.20,990,2736,154.15,154.35,12000,18000,155.05,155.25,38276,15300,90000,72000,154.071,154.401,155.020,155.308,-0.875,46.018
2017-01-06 09:47:00,154.337,155.169,-0.900,4686,200,154.25,154.30,6000,18000,155.10,155.25,1137,1193,154.20,154.35,18000,12000,155.05,155.30,27391,12505,72000,72000,154.115,154.427,154.992,155.338,-0.870,45.830
2017-01-06 09:48:00,153.878,154.797,-0.875,409,1046,153.85,153.95,12000,6000,154.60,154.95,1087,1883,153.80,154.00,6000,12000,154.55,155.00,9718,13464,54000,54000,153.699,154.083,154.483,155.089,-0.875,45.406
2017-01-06 09:49:00,153.839,154.727,-0.875,1184,1233,153.75,153.90,12000,6000,154.60,154.80,1118,2151,153.70,153.95,6000,6000,154.55,154.85,15594,14838,48000,42000,153.617,154.014,154.494,154.929,-0.885,44.769
2017-01-06 09:50:00,153.683,154.503,-0.850,3104,839,153.60,153.65,6000,30000,154.45,154.50,6302,3747,153.55,153.70,12000,6000,154.40,154.60,33237,16525,48000,66000,153.470,153.762,154.312,154.632,-0.895,44.086
2017-01-06 09:51:00,153.765,154.644,-0.875,407,1183,153.70,153.80,6000,12000,154.55,154.70,5360,1202,153.65,153.85,6000,6000,154.50,154.80,16066,12722,54000,48000,153.588,153.919,154.378,154.831,-0.900,43.509
2017-01-06 09:52:00,153.862,154.647,-0.875,4998,4243,153.70,153.85,12000,6000,154.60,154.70,3251,3641,153.65,153.90,18000,6000,154.50,154.75,34860,17663,54000,36000,153.556,153.948,154.461,154.842,-0.895,43.090
2017-01-06 09:53:00,153.927,154.797,-0.900,500,899,153.85,153.90,12000,12000,154.70,154.85,3959,342,153.80,153.95,6000,18000,154.65,154.90,20469,11319,66000,54000,153.703,154.041,154.550,154.950,-0.905,42.692
2017-01-06 09:54:00,153.958,154.817,-0.925,2919,499,153.80,153.90,12000,6000,154.70,154.85,2340,689,153.75,153.95,6000,18000,154.65,154.90,41555,14525,60000,48000,153.641,154.032,154.580,154.963,-0.890,42.399
2017-01-06 09:55:00,154.151,154.944,-0.900,3018,1702,153.95,154.15,6000,12000,154.85,155.05,1640,2319,153.90,154.20,6000,6000,154.80,155.10,27950,13172,42000,54000,153.804,154.255,154.729,155.161,-0.885,41.845
